Incident Year,Incident Month,Operator,State,FAA Region,Flight Phase,Aircraft Damage
1990,6,BUSINESS,IL,AGL,LANDING ROLL,0
1990,6,GOVERNMENT,TX,ASW,TAKEOFF RUN,1
1990,6,COMMERCIAL,TX,ASW,APPROACH,0
1990,6,COMMERCIAL,OH,AGL,LANDING ROLL,0
1990,6,COMMERCIAL,CA,AWP,TAKEOFF RUN,0
1990,6,COMMERCIAL,OH,AGL,LANDING ROLL,0
1990,6,COMMERCIAL,CA,AWP,APPROACH,0
1990,6,COMMERCIAL,FL,ASO,CLIMB,0
1990,6,COMMERCIAL,FL,ASO,TAKEOFF RUN,0
1990,6,COMMERCIAL,NV,AWP,LANDING ROLL,0
1990,6,BUSINESS,TX,ASW,TAKEOFF RUN,1
1990,6,GOVERNMENT,FL,ASO,CLIMB,1
1990,6,PRIVATE,TX,ASW,APPROACH,0
1990,6,COMMERCIAL,CA,AWP,LANDING ROLL,0
1990,6,GOVERNMENT,ID,ANM,APPROACH,0
1990,6,COMMERCIAL,CA,AWP,APPROACH,0
1990,6,GOVERNMENT,TX,ASW,CLIMB,1
1990,6,SHIPPING,NE,ACE,APPROACH,0
1990,6,PRIVATE,UT,ANM,CLIMB,1
1990,6,GOVERNMENT,TX,ASW,TAKEOFF RUN,1
1990,6,COMMERCIAL,TN,ASO,LANDING ROLL,0
1990,6,COMMERCIAL,WI,AGL,LANDING ROLL,0
1990,6,COMMERCIAL,NJ,AEA,LANDING ROLL,0
1990,6,BUSINESS,WI,AGL,TAKEOFF RUN,0
1990,6,BUSINESS,AK,AAL,CLIMB,0
1990,6,COMMERCIAL,NC,ASO,APPROACH,0
1990,6,BUSINESS,PA,AEA,CLIMB,0
1990,6,GOVERNMENT,NY,AEA,LANDING ROLL,0
1990,6,COMMERCIAL,TX,ASW,APPROACH,0
1990,6,COMMERCIAL,IL,AGL,APPROACH,0
1990,6,COMMERCIAL,TX,ASW,CLIMB,0
1990,6,COMMERCIAL,CA,AWP,CLIMB,1
1990,6,PRIVATE,WV,AEA,CLIMB,0
1990,6,COMMERCIAL,NY,AEA,CLIMB,0
1990,6,COMMERCIAL,FL,ASO,TAKEOFF RUN,0
1990,6,COMMERCIAL,AK,AAL,TAKEOFF RUN,1
1990,6,COMMERCIAL,IL,AGL,LANDING ROLL,0
1990,6,COMMERCIAL,CA,AWP,APPROACH,0
1990,7,BUSINESS,NJ,AEA,LANDING ROLL,0
1990,7,COMMERCIAL,AK,AAL,TAKEOFF RUN,0
1990,7,COMMERCIAL,PA,AEA,TAKEOFF RUN,0
1990,7,COMMERCIAL,TX,ASW,APPROACH,0
1990,7,BUSINESS,CA,AWP,TAKEOFF RUN,0
1990,7,COMMERCIAL,TN,ASO,APPROACH,0
1990,7,COMMERCIAL,AR,ASW,APPROACH,0
1990,7,BUSINESS,MS,ASO,LANDING ROLL,0
1990,7,GOVERNMENT,ID,ANM,CLIMB,0
1990,7,BUSINESS,DC,AEA,LANDING ROLL,0
